image_top_1	new_class
-1	nophotos
0.0	серьги
1.0	диадема
2.0	колье
3.0	бусы
4.0	браслет
5.0	колье
6.0	кулон
7.0	ободок
8.0	кулон
9.0	красная
10.0	заколка
11.0	кольцо
12.0	цепочка
13.0	брошь
14.0	цепь
15.0	браслет
16.0	серьги
17.0	колье
18.0	бусы
19.0	кольцо
20.0	запонки
21.0	подвеска
22.0	серьги
23.0	кольцо
24.0	браслет
25.0	кольцо
26.0	pandora
27.0	цепь
28.0	брошь
29.0	часов
30.0	часы
31.0	часы
32.0	samsung
33.0	часы
34.0	часы
35.0	часы
36.0	секундомер
37.0	часы
38.0	часы
39.0	часы
40.0	watch
41.0	боди
42.0	комбинезон
43.0	кеды
44.0	сандали
45.0	кроссовки
46.0	туфли
47.0	ботинки
48.0	валенки
49.0	резиновые
50.0	костюм
51.0	куртка
52.0	куртка
53.0	ветровка
54.0	костюм
55.0	шапка
56.0	варежки
57.0	шапка
58.0	шлем
59.0	кофта
60.0	майка
61.0	толстовка
62.0	водолазка
63.0	костюм
64.0	свитер
65.0	футболка
66.0	кофта
67.0	поло
68.0	брюки
69.0	штаны
70.0	штаны
71.0	джинсы
72.0	брюки
73.0	костюм
74.0	костюм
75.0	конверт
76.0	рубашка
77.0	плавки
78.0	шорты
79.0	костюм
80.0	платье
81.0	юбка
82.0	платье
83.0	боди
84.0	комбинезон
85.0	кеды
86.0	кроссовки
87.0	туфли
88.0	ботинки
89.0	валенки
90.0	пинетки
91.0	сапоги
92.0	балетки
93.0	сандали
94.0	костюм
95.0	куртка
96.0	куртка
97.0	ветровка
98.0	костюм
99.0	костюм
100.0	перчатки
101.0	шапка
102.0	варежки
103.0	шарф
104.0	шлем
105.0	шапка
106.0	майка
107.0	кофта
108.0	платье
109.0	костюм
110.0	свитер
111.0	футболка
112.0	кофта
113.0	колготки
114.0	блузка
115.0	джинсы
116.0	штаны
117.0	джинсы
118.0	джинсы
119.0	брюки
120.0	костюм
121.0	конверт
122.0	рубашка
123.0	костюм
124.0	купальник
125.0	платье
126.0	шорты
127.0	купальник
128.0	кольцо
129.0	клатч
130.0	перчатки
131.0	шапка
132.0	пряжа
133.0	колец
134.0	шляпа
135.0	маска
136.0	груша
137.0	мая
138.0	платок
139.0	обложка
140.0	подтяжки
141.0	пальто
142.0	галстук
143.0	стельки
144.0	регистрация
145.0	шапка
146.0	букет
147.0	сумка
148.0	машину
149.0	рюкзак
150.0	рюкзак
151.0	рюкзак
152.0	рюкзак
153.0	сумка
154.0	рюкзак
155.0	сумка
156.0	сумка
157.0	сумка
158.0	рюкзак
159.0	сумка
160.0	рюкзак
161.0	сумка
162.0	сумка
163.0	рюкзак
164.0	рюкзак
165.0	рюкзак
166.0	рюкзак
167.0	рюкзак
168.0	рюкзак
169.0	рюкзак
170.0	рюкзак
171.0	сумка
172.0	рюкзак
173.0	продам
174.0	рюкзак
175.0	рюкзак
176.0	рюкзак
177.0	рюкзак
178.0	рюкзак
179.0	кенгуру
180.0	рюкзак
181.0	рюкзак
182.0	рюкзак
183.0	рюкзак
184.0	сумка
185.0	рюкзак
186.0	рюкзак
187.0	рюкзак
188.0	рюкзак
189.0	рюкзак
190.0	рюкзак
191.0	рюкзак
192.0	рюкзак
193.0	рюкзак
194.0	рюкзак
195.0	рюкзак
196.0	маска
197.0	очки
198.0	шапка
199.0	очки
200.0	вейвборд(скейтборд)
201.0	чемодан
202.0	очки
203.0	перчатки
204.0	букет
205.0	сумка
206.0	мужской
207.0	piquadro
208.0	очки
209.0	панама
210.0	м
211.0	кепка
212.0	платье
213.0	ремень
214.0	х
215.0	платье
216.0	куртка
217.0	брендовые
218.0	кошелек
219.0	сумка
220.0	шапка
221.0	кепка
222.0	чокер
223.0	шляпа
224.0	манекены
225.0	шкатулка
226.0	брелок
227.0	берет
228.0	волосы
229.0	отделка
230.0	шапка
231.0	шарф
232.0	портфель
233.0	волос
234.0	свадебные
235.0	варежки
236.0	колпачки
237.0	куртка
238.0	сумка
239.0	кошелек
240.0	платье
241.0	платье
242.0	женская
243.0	рюкзак
244.0	свадебные
245.0	бабочка
246.0	ручка
247.0	очки
248.0	шапка
249.0	очки
250.0	ремень
251.0	платье
252.0	маска
253.0	сумка
254.0	сумка
255.0	сумка
256.0	сумка
257.0	сумка
258.0	новая
259.0	сумка
260.0	сумка
261.0	сумка
262.0	сумка
263.0	сумка
264.0	сумка
265.0	сумка
266.0	сумка
267.0	сумка
268.0	сумка
269.0	сумка
270.0	сумка
271.0	сумка
272.0	сумка
273.0	сумка
274.0	сумка
275.0	сумка
276.0	сумка
277.0	сумка
278.0	сумка
279.0	сумка
280.0	сумка
281.0	сумка
282.0	сумка
283.0	сумка
284.0	сумка
285.0	сумка
286.0	сумка
287.0	сумка
288.0	сумка
289.0	сумка
290.0	сумка
291.0	сумка
292.0	сумка
293.0	сумка
294.0	сумка
295.0	сумка
296.0	сумка
297.0	сумка
298.0	сумка
299.0	сумка
300.0	сумка
301.0	сумка
302.0	сумка
303.0	сумка
304.0	сумка
305.0	сумка
306.0	сумка
307.0	сумка
308.0	сумка
309.0	сумка
310.0	сумка
311.0	сумка
312.0	сумка
313.0	сумка
314.0	сумка
315.0	сумка
316.0	сумка
317.0	сумка
318.0	сумка
319.0	сумка
320.0	ваз
321.0	сумка
322.0	сумка
323.0	продам
324.0	сумка
325.0	сумка
326.0	участок
327.0	сумка
328.0	сумка
329.0	сумка
330.0	сумка
332.0	сумка
333.0	сумка
334.0	шапка
335.0	браслет
336.0	пилотки
337.0	сумка
338.0	рост
339.0	кошелёк
340.0	чемодан
341.0	воротник
342.0	очки
343.0	набор
344.0	см
345.0	сумка
346.0	ободок
347.0	сумка
348.0	клатч
349.0	ремень
350.0	галстук
351.0	зонт
352.0	шапка
353.0	шкуры
354.0	шапка
355.0	волос
356.0	портфель
357.0	зажигалка
358.0	брелок
359.0	шарф
360.0	погоны
361.0	сумка
362.0	перчатки
363.0	кепка
364.0	"пуфик""сундук"""
365.0	браслет
366.0	манекен
367.0	женский
368.0	шарф
369.0	фуражка
371.0	серьги
372.0	серьги
373.0	шорты
374.0	юбка
375.0	юбка
376.0	юбка
377.0	юбка
378.0	юбка
379.0	джинсы
381.0	юбка
382.0	юбка
383.0	платье
384.0	пальто
385.0	платье
386.0	платье
387.0	платье
388.0	платье
389.0	платье
390.0	платье
391.0	платье
392.0	платье
393.0	платье
394.0	платье
395.0	платье
396.0	платье
397.0	платье
398.0	платье
399.0	платье
400.0	платье
401.0	платье
402.0	платье
403.0	платье
404.0	платье
405.0	платье
406.0	платье
407.0	платье
